date_time,cpu_percent,mem_percent,cpu_average,pid_len,cpu_listval
2023-05-26 09:31:31,32.5,59.2,16.2,306,"33.8,13.8,16.7,12.1,10.6,12.3,16.7,13.6"
2023-05-26 09:31:33,22.3,59.2,16.31,306,"16.7,15.4,24.6,14.1,10.8,10.9,14.1,23.9"
2023-05-26 09:31:35,20.8,59.2,12.15,306,"32.9,12.3,7.7,7.6,6.2,9.1,10.8,10.6"
2023-05-26 09:31:37,15.5,58.9,11.46,306,"23.2,16.4,7.7,10.6,7.7,6.2,12.3,7.6"
2023-05-26 09:31:39,18.3,59.0,21.5,305,"36.8,21.9,17.2,12.5,23.4,14.1,24.2,21.9"
2023-05-26 09:31:41,13.7,58.9,20.31,306,"28.4,26.2,20.0,15.4,15.6,7.8,23.4,25.7"
2023-05-26 09:31:43,21.3,58.6,27.32,309,"41.7,20.3,20.3,21.9,30.9,21.5,35.4,26.6"
2023-05-26 09:31:45,20.7,58.8,25.36,309,"42.3,26.6,25.0,29.9,18.8,15.6,26.2,18.5"
2023-05-26 09:31:47,13.1,58.9,33.77,309,"58.1,34.4,45.3,28.1,26.6,26.2,31.2,20.3"
2023-05-26 09:31:49,14.8,58.9,12.74,309,"35.1,13.8,14.1,4.7,10.9,4.7,9.4,9.2"
2023-05-26 09:31:51,42.6,58.9,53.75,310,"67.6,51.5,64.2,44.6,47.7,46.2,53.8,54.4"
2023-05-26 09:31:53,45.2,59.3,62.12,309,"67.7,53.1,75.0,66.2,57.8,56.9,59.4,60.9"
2023-05-26 09:31:55,51.8,59.9,21.79,309,"37.1,14.1,20.3,24.2,23.4,10.9,23.4,20.9"
2023-05-26 09:31:57,15.5,60.4,14.51,309,"31.9,13.8,12.3,6.1,13.6,3.1,19.1,16.2"
2023-05-26 09:31:59,15.0,60.2,18.5,309,"28.6,18.5,21.5,18.2,9.2,13.8,24.6,13.6"
2023-05-26 09:32:01,23.2,60.1,17.07,309,"39.7,15.4,20.3,12.1,15.6,4.7,17.9,10.9"
2023-05-26 09:32:03,9.9,60.1,21.27,310,"20.6,20.0,27.7,18.5,26.2,6.2,20.0,31.0"
2023-05-26 09:32:05,14.6,60.2,18.5,310,"34.3,13.8,18.5,16.9,13.8,12.3,21.7,16.7"
2023-05-26 09:32:07,10.5,60.2,16.7,310,"28.6,15.4,12.5,14.9,12.5,9.4,22.4,17.9"
2023-05-26 09:32:09,20.1,60.2,33.19,310,"47.2,39.4,31.8,32.3,30.8,27.7,34.8,21.5"
2023-05-26 09:32:11,29.3,60.3,11.35,310,"31.1,9.2,12.3,7.7,6.2,4.6,13.6,6.1"
2023-05-26 09:32:13,25.7,60.3,26.09,310,"40.3,21.9,26.6,23.4,21.9,18.8,28.1,27.7"
2023-05-26 09:32:15,24.2,60.1,26.12,311,"26.5,29.2,38.8,23.1,27.7,20.3,23.4,20.0"
2023-05-26 09:32:17,27.5,60.3,13.84,310,"28.6,13.8,13.8,6.2,16.7,3.1,12.3,16.2"
2023-05-26 09:32:19,10.4,60.2,24.31,310,"32.8,25.0,26.6,25.0,21.9,15.4,26.6,21.2"
2023-05-26 09:32:21,16.6,60.2,22.52,308,"34.7,18.5,20.0,20.0,18.5,18.5,25.4,24.6"
2023-05-26 09:32:23,17.3,60.2,17.4,309,"25.0,15.4,24.6,18.2,16.7,4.6,22.4,12.3"
2023-05-26 09:32:25,15.6,60.1,21.49,310,"37.7,16.9,23.1,20.0,15.4,9.2,28.4,21.2"
2023-05-26 09:32:28,15.4,60.1,21.82,313,"34.2,18.5,15.4,21.5,29.2,9.2,21.2,25.4"
2023-05-26 09:32:30,33.0,60.1,33.15,311,"41.1,27.7,36.9,41.5,38.5,15.4,33.3,30.8"
2023-05-26 09:32:32,31.8,60.2,16.74,308,"35.7,12.5,18.8,12.5,12.5,7.8,20.3,13.8"
2023-05-26 09:32:34,17.3,60.3,32.99,310,"41.8,39.1,34.4,31.2,26.6,15.6,41.4,33.8"
2023-05-26 09:32:36,29.5,59.7,15.19,307,"42.3,15.2,13.8,4.6,9.2,9.2,13.6,13.6"
2023-05-26 09:32:38,16.3,59.5,13.24,307,"26.4,12.3,18.5,6.2,10.8,6.2,10.8,14.7"
2023-05-26 09:32:40,23.0,59.5,14.4,307,"21.7,16.7,12.3,4.6,12.3,3.1,22.4,22.1"
2023-05-26 09:32:42,25.7,59.4,15.31,307,"42.9,9.2,10.8,10.8,10.8,7.7,16.9,13.4"
2023-05-26 09:32:44,12.9,59.4,17.81,307,"30.4,14.1,21.9,20.0,20.3,9.4,17.2,9.2"
2023-05-26 09:32:46,12.9,59.4,12.84,307,"19.7,12.5,12.5,10.6,10.9,7.8,13.8,14.9"
2023-05-26 09:32:48,23.6,59.3,20.42,307,"40.8,21.7,18.2,10.8,12.3,4.6,30.8,24.2"
2023-05-26 09:32:50,13.6,59.3,11.51,307,"29.7,12.3,7.7,6.2,6.2,6.2,10.6,13.2"
2023-05-26 09:32:52,23.6,59.4,15.22,307,"27.3,23.9,18.5,6.2,13.8,7.7,13.8,10.6"
2023-05-26 09:32:54,18.3,59.2,12.85,307,"26.4,15.4,6.2,14.7,7.7,6.2,10.8,15.4"
2023-05-26 09:32:56,13.1,58.8,26.69,307,"26.5,21.5,33.8,41.8,28.4,16.9,27.7,16.9"
2023-05-26 09:32:58,17.4,58.8,19.04,307,"22.1,21.5,16.9,17.9,18.5,16.9,23.1,15.4"
2023-05-26 09:33:00,40.2,59.2,15.28,307,"21.7,18.8,10.9,9.2,12.5,10.9,21.5,16.7"
2023-05-26 09:33:02,30.8,59.2,41.55,307,"56.6,43.8,50.8,32.8,42.2,31.2,35.9,39.1"
2023-05-26 09:33:04,30.9,59.3,35.57,307,"45.7,41.5,43.1,29.2,30.8,24.6,40.3,29.4"
2023-05-26 09:33:06,21.3,59.7,15.51,307,"35.2,10.8,18.5,13.6,13.8,9.2,13.8,9.2"
2023-05-26 09:33:08,16.3,59.6,16.91,307,"30.6,23.1,21.5,20.0,10.8,3.1,15.4,10.8"
2023-05-26 09:33:10,23.6,59.6,14.37,307,"38.7,13.8,10.8,9.1,12.3,4.6,14.9,10.8"
2023-05-26 09:33:12,17.1,59.6,18.59,306,"35.2,26.2,18.8,12.5,17.2,10.9,18.5,9.4"
2023-05-26 09:33:14,14.2,59.2,14.52,306,"27.8,20.0,13.8,16.2,13.8,7.7,12.3,4.6"
2023-05-26 09:33:16,18.0,59.1,24.41,306,"26.5,23.1,37.1,27.7,21.5,18.2,15.4,25.8"
2023-05-26 09:33:18,10.6,59.0,12.71,306,"16.4,10.9,15.6,9.2,10.9,4.7,12.3,21.7"
2023-05-26 09:33:20,15.1,58.9,26.16,306,"37.3,21.9,25.0,35.4,23.4,21.5,29.2,15.6"
2023-05-26 09:33:22,17.6,58.8,21.8,306,"23.9,20.3,21.9,21.5,21.9,15.6,25.8,23.5"
2023-05-26 09:33:25,14.5,58.8,17.22,306,"31.9,22.7,21.2,13.6,21.2,3.1,12.3,11.8"
2023-05-26 09:33:27,19.3,58.8,32.39,307,"41.7,24.6,32.3,34.8,37.9,26.2,35.4,26.2"
2023-05-26 09:33:29,17.7,59.0,16.24,306,"20.0,14.1,20.3,18.2,14.1,10.8,17.2,15.2"
2023-05-26 09:33:31,27.9,59.0,10.69,306,"25.7,7.7,10.8,7.5,9.2,1.5,18.5,4.6"
2023-05-26 09:33:33,21.3,59.0,16.36,306,"36.0,10.8,26.2,10.8,13.8,3.1,12.3,17.9"
2023-05-26 09:33:35,20.3,59.3,17.69,306,"32.9,12.3,18.5,10.8,19.7,12.1,20.0,15.2"
2023-05-26 09:33:37,35.0,59.4,35.77,308,"39.1,37.9,47.1,32.3,32.3,23.1,40.6,33.8"
2023-05-26 09:33:39,23.7,59.3,14.06,306,"27.1,10.8,15.4,13.6,19.4,4.6,10.8,10.8"
2023-05-26 09:33:41,27.7,59.1,67.03,306,"70.0,67.6,65.2,73.1,63.6,57.6,73.9,65.2"
2023-05-26 09:33:43,23.8,59.9,23.93,305,"23.5,16.9,30.8,31.8,22.7,13.8,28.8,23.1"
2023-05-26 09:33:45,54.7,59.9,67.54,305,"74.3,66.7,72.3,70.1,61.5,64.6,66.2,64.6"
2023-05-26 09:33:47,38.4,61.1,15.85,305,"23.5,18.5,21.5,13.4,7.7,9.2,19.4,13.6"
2023-05-26 09:33:49,23.3,60.9,29.42,305,"47.9,22.7,30.3,27.7,32.3,21.5,24.2,28.8"
2023-05-26 09:33:51,15.5,61.2,14.05,305,"28.2,10.8,21.5,12.1,12.3,7.6,12.3,7.6"
2023-05-26 09:33:53,35.9,61.2,40.92,306,"52.8,33.8,50.0,44.6,46.2,27.7,38.5,33.8"
2023-05-26 09:33:55,38.9,61.1,20.56,306,"37.0,18.8,26.6,13.8,17.2,15.6,20.3,15.2"
2023-05-26 09:33:57,18.4,60.7,14.16,306,"43.4,13.8,12.3,7.7,4.6,3.1,15.2,13.2"
2023-05-26 09:33:59,37.5,60.5,17.5,306,"39.4,16.9,16.7,18.2,10.8,6.2,19.7,12.1"
2023-05-26 09:34:01,16.9,60.4,20.49,306,"26.9,12.5,31.8,24.6,20.3,7.8,21.5,18.5"
2023-05-26 09:34:03,25.1,60.4,16.49,306,"39.7,9.4,21.9,12.5,15.6,4.7,17.2,10.9"
2023-05-26 09:34:05,39.2,60.4,26.25,309,"25.4,29.2,41.5,23.1,26.2,18.5,21.5,24.6"
2023-05-26 09:34:07,27.8,60.5,39.5,308,"42.6,30.8,50.0,44.6,38.5,24.6,45.5,39.4"
2023-05-26 09:34:09,18.5,61.0,20.39,308,"29.4,21.5,27.7,21.5,21.5,12.3,13.8,15.4"
2023-05-26 09:34:11,35.2,61.1,19.76,308,"37.0,15.4,24.6,15.2,23.1,9.2,16.7,16.9"
2023-05-26 09:34:13,27.4,61.0,73.09,311,"71.2,74.2,73.8,78.5,75.4,71.6,69.2,70.8"
2023-05-26 09:34:15,60.1,61.2,39.69,311,"59.7,34.4,50.0,42.2,40.6,25.0,40.6,25.0"
2023-05-26 09:34:17,49.0,61.4,38.61,310,"38.5,39.1,35.9,59.4,34.4,33.8,37.5,30.3"
2023-05-26 09:34:19,53.1,62.1,90.62,310,"94.0,90.8,89.2,92.4,89.2,90.9,86.2,92.3"
2023-05-26 09:34:22,56.5,62.9,88.6,312,"89.6,89.2,87.7,87.5,86.2,88.6,89.2,90.8"
2023-05-26 09:34:24,90.7,62.9,93.97,312,"97.1,92.4,95.3,95.4,92.2,90.3,93.8,95.3"
2023-05-26 09:34:26,59.3,62.7,36.52,312,"35.8,29.7,40.6,33.8,43.8,38.0,42.4,28.1"
2023-05-26 09:34:28,40.7,62.3,30.65,311,"31.4,20.0,50.8,21.5,52.3,15.4,20.0,33.8"
2023-05-26 09:34:30,53.0,62.4,61.19,313,"67.2,50.8,79.2,46.2,61.5,61.5,60.0,63.1"
2023-05-26 09:34:32,51.3,62.6,35.45,312,"33.8,32.8,71.6,17.2,45.3,17.2,39.1,26.6"
2023-05-26 09:34:34,28.1,62.7,47.61,312,"59.4,37.5,64.3,46.2,53.1,29.7,42.2,48.5"
2023-05-26 09:34:36,26.5,62.7,18.14,312,"25.7,16.9,24.6,21.2,21.5,9.2,15.2,10.8"
2023-05-26 09:34:38,43.9,62.6,25.34,312,"32.8,18.8,35.9,15.2,34.4,20.3,31.2,14.1"
2023-05-26 09:34:40,40.9,62.7,29.95,312,"28.8,37.5,20.3,20.3,52.9,26.6,26.6,26.6"
2023-05-26 09:34:42,52.4,62.7,44.1,312,"53.7,40.0,37.5,37.5,60.6,34.4,42.2,46.9"
2023-05-26 09:34:44,28.9,62.7,51.31,312,"53.0,40.0,50.0,50.0,58.5,46.9,46.9,65.2"
2023-05-26 09:34:46,70.2,63.1,59.29,312,"66.2,60.3,65.6,54.7,48.4,51.6,63.1,64.4"
2023-05-26 09:34:48,47.7,62.9,23.1,312,"33.3,10.8,30.8,23.1,29.9,12.3,23.1,21.5"
2023-05-26 09:34:50,33.8,62.8,58.59,312,"58.5,57.6,53.8,61.5,68.2,47.7,53.8,67.6"
2023-05-26 09:34:52,55.5,63.9,41.8,312,"41.2,29.2,43.1,40.0,46.2,36.9,43.1,54.7"
2023-05-26 09:34:55,72.3,64.0,75.29,313,"73.1,78.1,76.6,81.2,73.4,71.9,67.2,80.8"
2023-05-26 09:34:57,89.6,64.8,49.89,313,"52.2,40.9,46.2,50.8,52.3,40.0,64.6,52.1"
2023-05-26 09:34:59,34.5,65.7,47.67,312,"58.6,41.5,43.1,44.6,44.6,43.9,46.2,58.9"
2023-05-26 09:35:01,20.5,64.3,33.56,312,"40.3,21.9,32.3,32.3,36.9,28.1,32.8,43.9"
2023-05-26 09:35:03,20.4,63.8,33.46,312,"55.3,26.6,45.3,35.9,25.0,15.6,35.9,28.1"
2023-05-26 09:35:05,28.4,63.8,29.7,312,"33.3,27.7,34.4,20.3,42.2,18.8,28.1,32.8"
2023-05-26 09:35:07,30.6,63.7,20.6,312,"32.4,18.5,24.6,50.8,18.5,4.6,9.2,6.2"
2023-05-26 09:35:09,22.8,64.1,27.46,311,"42.7,29.2,38.5,23.1,24.6,15.4,27.7,18.5"
2023-05-26 09:35:11,51.5,63.5,29.88,310,"53.3,24.6,26.2,16.9,32.3,27.7,27.7,30.3"
2023-05-26 09:35:13,33.3,63.5,48.35,310,"59.2,36.9,52.3,52.2,55.4,43.1,41.5,46.2"
2023-05-26 09:35:15,25.9,64.0,33.65,310,"52.1,23.4,37.5,28.1,37.5,29.7,31.2,29.7"
2023-05-26 09:35:17,31.1,63.6,28.35,309,"40.6,35.4,33.8,30.8,30.8,10.8,20.0,24.6"
2023-05-26 09:35:19,36.6,63.6,60.48,309,"72.7,56.7,73.8,58.5,63.6,52.3,50.8,55.4"
2023-05-26 09:35:21,58.4,63.6,58.24,309,"68.4,62.1,56.9,53.8,66.2,46.2,67.7,44.6"
2023-05-26 09:35:23,72.1,63.6,64.61,309,"69.4,60.0,73.4,73.4,59.4,64.1,59.4,57.8"
2023-05-26 09:35:25,71.0,63.1,55.82,308,"72.8,53.8,70.8,53.8,47.7,47.7,53.8,46.2"
2023-05-26 09:35:27,31.7,63.0,19.05,308,"33.8,35.4,43.1,9.2,15.4,6.2,6.2,3.1"
2023-05-26 09:35:29,34.0,62.6,27.72,308,"51.9,41.5,31.8,21.5,16.9,15.4,29.2,13.6"
2023-05-26 09:35:31,22.0,62.7,24.69,308,"28.2,20.0,35.4,15.4,15.4,20.0,24.6,38.5"
2023-05-26 09:35:33,32.6,62.6,29.15,308,"36.2,28.1,42.2,28.1,18.8,26.6,34.4,18.8"
2023-05-26 09:35:35,23.0,62.6,32.04,308,"48.6,37.5,29.7,45.3,25.0,31.2,28.1,10.9"
2023-05-26 09:35:37,34.1,62.9,21.06,309,"33.3,7.7,35.4,27.7,18.2,10.8,23.1,12.3"
2023-05-26 09:35:39,22.7,62.9,23.4,309,"32.4,29.7,26.6,28.1,26.6,18.8,15.6,9.4"
2023-05-26 09:35:41,38.2,62.6,41.44,311,"58.7,24.2,40.0,55.4,40.0,29.2,40.9,43.1"
2023-05-26 09:35:43,35.4,63.0,26.95,311,"45.3,10.9,23.4,29.7,28.1,18.8,26.6,32.8"
2023-05-26 09:35:46,36.8,63.0,37.71,311,"37.1,36.9,27.7,38.5,36.9,41.5,46.2,36.9"
2023-05-26 09:35:48,28.2,63.3,24.31,311,"42.5,22.7,24.6,26.2,24.6,10.8,15.4,27.7"
2023-05-26 09:35:50,25.6,63.3,25.31,311,"40.0,15.6,21.9,20.3,20.3,18.8,32.8,32.8"
2023-05-26 09:35:52,23.9,63.1,21.41,311,"33.8,28.1,34.4,17.2,21.9,12.5,12.5,10.9"
2023-05-26 09:35:54,30.2,63.1,33.86,311,"55.3,30.8,46.2,26.2,38.5,23.1,27.7,23.1"
2023-05-26 09:35:56,36.1,63.5,34.95,310,"48.1,23.1,38.5,46.2,27.3,27.7,35.4,33.3"
2023-05-26 09:35:58,41.0,63.5,43.41,311,"62.8,33.8,55.4,41.5,43.1,33.8,44.6,32.3"
2023-05-26 09:36:00,27.3,63.5,26.75,311,"33.3,36.4,21.5,35.4,24.2,18.5,26.2,18.5"
2023-05-26 09:36:02,25.6,63.5,26.38,311,"36.1,53.1,28.1,35.9,9.4,10.9,20.3,17.2"
2023-05-26 09:36:04,27.1,63.2,26.34,311,"24.3,24.2,30.8,34.8,18.5,26.2,24.2,27.7"
2023-05-26 09:36:06,40.4,63.0,57.99,314,"60.9,64.1,67.2,60.9,56.2,50.0,56.2,48.4"
2023-05-26 09:36:08,30.1,63.6,20.89,312,"31.9,43.1,26.2,24.6,12.3,7.7,13.6,7.7"
2023-05-26 09:36:10,52.1,63.4,77.06,312,"84.5,72.7,69.7,81.8,74.2,74.2,80.6,78.8"
2023-05-26 09:36:12,55.6,63.2,39.74,314,"42.9,39.1,43.8,50.0,35.9,35.9,37.5,32.8"
2023-05-26 09:36:14,22.0,63.4,25.35,314,"41.9,26.6,23.4,29.7,15.6,14.1,31.2,20.3"
2023-05-26 09:36:16,30.1,63.5,31.56,314,"42.3,36.4,40.0,29.2,27.7,21.5,20.0,35.4"
2023-05-26 09:36:18,22.3,63.2,28.06,314,"29.6,34.4,27.7,42.2,25.0,10.9,25.0,29.7"
2023-05-26 09:36:20,21.7,63.1,23.05,314,"36.0,25.0,17.2,45.3,15.6,10.9,15.6,18.8"
2023-05-26 09:36:22,28.4,63.2,21.8,314,"28.2,26.2,16.9,18.5,13.8,10.8,16.9,43.1"
2023-05-26 09:36:24,22.6,63.1,44.79,314,"60.5,43.1,54.7,50.0,42.2,23.4,43.8,40.6"
2023-05-26 09:36:26,33.4,63.2,67.16,314,"77.8,65.2,67.7,70.8,56.9,73.8,61.5,63.6"
2023-05-26 09:36:28,85.1,63.3,33.59,314,"38.6,21.5,35.4,47.7,24.6,36.9,34.8,29.2"
2023-05-26 09:36:30,29.0,63.2,22.56,314,"46.7,20.0,27.7,29.2,18.5,9.2,21.5,7.7"
2023-05-26 09:36:32,30.4,63.2,23.7,314,"38.9,15.4,32.3,13.8,23.1,24.6,24.6,16.9"
2023-05-26 09:36:34,25.3,63.2,23.79,314,"34.3,22.4,26.2,38.5,10.8,12.3,24.6,21.2"
2023-05-26 09:36:36,34.0,63.2,25.92,314,"41.7,28.1,18.8,34.4,26.6,10.9,29.7,17.2"
2023-05-26 09:36:39,27.3,63.2,30.55,314,"41.9,34.8,33.8,30.8,15.4,32.3,29.2,26.2"
2023-05-26 09:36:41,26.5,63.2,28.45,314,"26.0,44.6,27.7,20.0,20.0,24.6,26.2,38.5"
2023-05-26 09:36:43,27.0,63.1,18.3,314,"27.7,3.1,23.4,9.4,14.1,4.7,35.9,28.1"
2023-05-26 09:36:45,23.6,63.1,27.78,314,"41.1,20.3,21.9,25.0,31.2,23.4,35.9,23.4"
2023-05-26 09:36:47,19.9,63.5,27.45,314,"42.7,30.8,26.2,21.5,27.7,21.5,20.0,29.2"
2023-05-26 09:36:49,24.1,63.7,36.14,314,"50.0,21.9,39.1,26.6,34.4,35.9,50.0,31.2"
2023-05-26 09:36:51,26.0,63.7,23.9,314,"44.4,23.4,23.4,12.5,25.0,12.5,21.9,28.1"
2023-05-26 09:36:53,29.2,63.2,20.76,314,"46.1,26.2,6.2,9.2,33.8,21.5,10.8,12.3"
