date_time,cpu_percent,mem_percent,cpu_average,pid_len,cpu_listval
2023-05-30 10:58:54,28.1,53.6,31.05,304,"71.6,27.7,36.9,16.9,23.1,29.2,29.2,13.8"
2023-05-30 10:59:06,24.2,53.5,24.23,304,"77.2,4.5,13.6,1.5,23.1,18.3,55.6,0.0"
2023-05-30 10:59:18,31.7,53.5,20.64,305,"70.8,3.1,22.7,37.7,10.8,9.2,4.6,6.2"
2023-05-30 10:59:30,25.3,53.9,15.62,309,"22.9,10.9,25.0,10.9,31.9,7.8,12.5,3.1"
2023-05-30 10:59:42,25.1,54.2,22.81,308,"49.4,15.6,33.8,9.4,24.6,15.6,16.9,17.2"
2023-05-30 10:59:54,38.3,54.0,47.66,308,"64.6,43.7,63.2,37.3,49.3,49.3,43.1,30.8"
2023-05-30 11:00:06,22.5,54.1,25.45,306,"53.0,18.5,37.5,15.6,28.1,16.9,21.5,12.5"
2023-05-30 11:00:19,25.4,54.2,43.62,306,"59.0,35.4,53.8,36.9,36.9,47.0,44.6,35.4"
2023-05-30 11:00:31,20.7,54.3,22.41,305,"60.3,10.8,61.3,3.1,25.0,4.7,9.4,4.7"
2023-05-30 11:00:43,29.5,54.2,18.7,305,"29.6,7.7,35.3,12.1,15.4,10.8,23.5,15.2"
2023-05-30 11:00:55,17.8,54.2,19.95,305,"54.1,9.2,26.2,9.2,24.2,10.8,18.2,7.7"
2023-05-30 11:01:07,32.0,54.6,18.65,305,"43.2,7.8,29.9,6.2,24.6,12.5,17.2,7.8"
2023-05-30 11:01:19,22.6,54.4,22.14,306,"52.6,9.4,35.4,12.5,38.0,9.4,13.6,6.2"
2023-05-30 11:01:31,24.3,55.1,18.61,307,"39.5,10.9,22.7,6.2,25.0,9.4,22.7,12.5"
2023-05-30 11:01:43,32.9,54.8,32.82,307,"62.4,15.4,38.5,26.2,38.6,34.8,31.3,15.4"
2023-05-30 11:01:55,23.1,54.4,17.21,304,"40.3,6.2,26.2,7.8,21.5,15.6,10.9,9.2"
2023-05-30 11:02:07,24.0,54.3,17.62,303,"62.5,3.1,23.9,4.7,28.1,4.7,10.9,3.1"
2023-05-30 11:02:19,19.3,54.3,26.85,305,"44.7,25.0,29.7,23.1,25.0,21.9,26.6,18.8"
2023-05-30 11:02:31,19.9,54.3,21.19,305,"31.4,12.5,44.4,7.8,20.3,17.2,23.4,12.5"
2023-05-30 11:02:43,30.7,54.3,26.06,305,"30.4,22.7,42.3,28.8,24.6,15.4,19.7,24.6"
2023-05-30 11:02:55,20.8,54.3,22.06,304,"55.6,3.1,39.2,4.7,21.9,19.4,23.2,9.4"
2023-05-30 11:03:07,22.6,54.2,25.8,303,"52.6,13.6,52.4,13.6,22.7,15.2,24.2,12.1"
2023-05-30 11:03:19,18.6,54.5,18.26,304,"44.9,9.2,24.6,13.8,21.5,7.6,16.9,7.6"
2023-05-30 11:03:31,24.0,54.4,19.89,304,"51.9,9.2,16.9,7.6,22.7,7.6,32.4,10.8"
2023-05-30 11:03:43,23.8,54.3,31.05,304,"53.7,9.2,56.6,34.8,16.9,10.8,41.8,24.6"
2023-05-30 11:03:55,38.2,54.3,33.36,302,"29.9,54.4,39.1,23.1,42.2,26.6,25.0,26.6"
2023-05-30 11:04:07,20.0,54.2,21.44,303,"66.3,9.4,23.1,9.4,32.3,10.9,10.9,9.2"
